policy,completed,avg_wait,p90_wait,avg_flow,throughput_per_hr,wip_peak,stockout_rate,replenishments,num_servers
FIFO,172,19.23,48.43,27.09,344.0,10,0.0,0,1
FIFO,157,10.64,29.7,18.55,314.0,9,0.0,0,1
FIFO,185,11.64,28.73,19.71,370.0,7,0.0,0,1
FIFO,191,15.72,35.8,23.53,382.0,8,0.0,0,1
FIFO,191,15.98,36.21,24.14,382.0,8,0.0,0,1
FIFO,151,6.92,20.03,14.95,302.0,6,0.0,0,1
FIFO,181,16.44,39.32,24.46,362.0,8,0.0,0,1
FIFO,172,20.68,56.69,28.78,344.0,10,0.0,0,1
FIFO,189,25.92,66.84,33.82,378.0,13,0.0,0,1
FIFO,172,16.69,58.02,24.47,344.0,12,0.0,0,1
FIFO,177,1.52,5.13,9.37,354.0,6,0.0,0,2
FIFO,157,0.69,3.16,8.6,314.0,5,0.0,0,2
FIFO,185,0.6,2.03,8.68,370.0,5,0.0,0,2
FIFO,191,1.13,4.46,8.94,382.0,6,0.0,0,2
FIFO,195,1.16,4.9,9.31,390.0,5,0.0,0,2
FIFO,153,0.61,1.8,8.64,306.0,5,0.0,0,2
FIFO,183,0.91,3.76,8.93,366.0,5,0.0,0,2
FIFO,172,1.62,6.37,9.72,344.0,7,0.0,0,2
FIFO,190,0.89,3.26,8.79,380.0,6,0.0,0,2
FIFO,178,0.53,2.36,8.3,356.0,4,0.0,0,2
FIFO,177,0.34,0.1,8.19,354.0,6,0.0,0,3
FIFO,157,0.11,0.09,8.02,314.0,4,0.0,0,3
FIFO,185,0.12,0.09,8.19,370.0,5,0.0,0,3
FIFO,191,0.21,0.09,8.02,382.0,5,0.0,0,3
FIFO,195,0.15,0.1,8.3,390.0,4,0.0,0,3
FIFO,153,0.11,0.09,8.14,306.0,5,0.0,0,3
FIFO,183,0.12,0.09,8.14,366.0,5,0.0,0,3
FIFO,172,0.32,0.1,8.42,344.0,6,0.0,0,3
FIFO,190,0.19,0.09,8.09,380.0,6,0.0,0,3
FIFO,178,0.08,0.1,7.85,356.0,4,0.0,0,3
FIFO,177,0.11,0.09,7.96,354.0,6,0.0,0,4
FIFO,157,0.05,0.09,7.96,314.0,4,0.0,0,4
FIFO,185,0.05,0.09,8.12,370.0,5,0.0,0,4
FIFO,191,0.07,0.09,7.88,382.0,5,0.0,0,4
FIFO,195,0.05,0.09,8.2,390.0,4,0.0,0,4
FIFO,153,0.06,0.09,8.08,306.0,5,0.0,0,4
FIFO,183,0.06,0.09,8.08,366.0,5,0.0,0,4
FIFO,172,0.12,0.09,8.22,344.0,6,0.0,0,4
FIFO,190,0.1,0.09,7.99,380.0,6,0.0,0,4
FIFO,178,0.05,0.09,7.82,356.0,4,0.0,0,4
FIFO,177,0.06,0.09,7.91,354.0,6,0.0,0,5
FIFO,157,0.05,0.09,7.96,314.0,4,0.0,0,5
FIFO,185,0.05,0.09,8.12,370.0,5,0.0,0,5
FIFO,191,0.05,0.09,7.86,382.0,5,0.0,0,5
FIFO,195,0.05,0.09,8.2,390.0,4,0.0,0,5
FIFO,153,0.05,0.09,8.07,306.0,5,0.0,0,5
FIFO,183,0.05,0.09,8.07,366.0,5,0.0,0,5
FIFO,172,0.06,0.09,8.16,344.0,6,0.0,0,5
FIFO,190,0.06,0.09,7.95,380.0,6,0.0,0,5
FIFO,178,0.05,0.09,7.82,356.0,4,0.0,0,5
FIFO,177,0.05,0.09,7.9,354.0,6,0.0,0,6
FIFO,157,0.05,0.09,7.96,314.0,4,0.0,0,6
FIFO,185,0.05,0.09,8.12,370.0,5,0.0,0,6
FIFO,191,0.05,0.09,7.86,382.0,5,0.0,0,6
FIFO,195,0.05,0.09,8.2,390.0,4,0.0,0,6
FIFO,153,0.05,0.09,8.07,306.0,5,0.0,0,6
FIFO,183,0.05,0.09,8.07,366.0,5,0.0,0,6
FIFO,172,0.05,0.09,8.15,344.0,6,0.0,0,6
FIFO,190,0.05,0.09,7.95,380.0,6,0.0,0,6
FIFO,178,0.05,0.09,7.82,356.0,4,0.0,0,6
FIFO,177,0.05,0.09,7.9,354.0,6,0.0,0,7
FIFO,157,0.05,0.09,7.96,314.0,4,0.0,0,7
FIFO,185,0.05,0.09,8.12,370.0,5,0.0,0,7
FIFO,191,0.05,0.09,7.86,382.0,5,0.0,0,7
FIFO,195,0.05,0.09,8.2,390.0,4,0.0,0,7
FIFO,153,0.05,0.09,8.07,306.0,5,0.0,0,7
FIFO,183,0.05,0.09,8.07,366.0,5,0.0,0,7
FIFO,172,0.05,0.09,8.15,344.0,6,0.0,0,7
FIFO,190,0.05,0.09,7.95,380.0,6,0.0,0,7
FIFO,178,0.05,0.09,7.82,356.0,4,0.0,0,7
FIFO,177,0.05,0.09,7.9,354.0,6,0.0,0,8
FIFO,157,0.05,0.09,7.96,314.0,4,0.0,0,8
FIFO,185,0.05,0.09,8.12,370.0,5,0.0,0,8
FIFO,191,0.05,0.09,7.86,382.0,5,0.0,0,8
FIFO,195,0.05,0.09,8.2,390.0,4,0.0,0,8
FIFO,153,0.05,0.09,8.07,306.0,5,0.0,0,8
FIFO,183,0.05,0.09,8.07,366.0,5,0.0,0,8
FIFO,172,0.05,0.09,8.15,344.0,6,0.0,0,8
FIFO,190,0.05,0.09,7.95,380.0,6,0.0,0,8
FIFO,178,0.05,0.09,7.82,356.0,4,0.0,0,8
FIFO,177,0.05,0.09,7.9,354.0,6,0.0,0,9
FIFO,157,0.05,0.09,7.96,314.0,4,0.0,0,9
FIFO,185,0.05,0.09,8.12,370.0,5,0.0,0,9
FIFO,191,0.05,0.09,7.86,382.0,5,0.0,0,9
FIFO,195,0.05,0.09,8.2,390.0,4,0.0,0,9
FIFO,153,0.05,0.09,8.07,306.0,5,0.0,0,9
FIFO,183,0.05,0.09,8.07,366.0,5,0.0,0,9
FIFO,172,0.05,0.09,8.15,344.0,6,0.0,0,9
FIFO,190,0.05,0.09,7.95,380.0,6,0.0,0,9
FIFO,178,0.05,0.09,7.82,356.0,4,0.0,0,9
FIFO,177,0.05,0.09,7.9,354.0,6,0.0,0,10
FIFO,157,0.05,0.09,7.96,314.0,4,0.0,0,10
FIFO,185,0.05,0.09,8.12,370.0,5,0.0,0,10
FIFO,191,0.05,0.09,7.86,382.0,5,0.0,0,10
FIFO,195,0.05,0.09,8.2,390.0,4,0.0,0,10
FIFO,153,0.05,0.09,8.07,306.0,5,0.0,0,10
FIFO,183,0.05,0.09,8.07,366.0,5,0.0,0,10
FIFO,172,0.05,0.09,8.15,344.0,6,0.0,0,10
FIFO,190,0.05,0.09,7.95,380.0,6,0.0,0,10
FIFO,178,0.05,0.09,7.82,356.0,4,0.0,0,10
